asnum,asname,,,
3957,American Institute of Physics Incorporated,,,
3999,The Pennsylvania State University,,,
4130,University of Pittsburgh,,,
4158,City University of Hong Kong,,,
4190,Binghamton University,,,
4201,Oregon State University,,,
4224,The Calyx Institute,,,
4246,New Jersey Institute of Technology,,,
4270,Red de Interconexion Universitaria,,,
4274,Assumption University,,,
4310,Seminole State College of Florida,,,
4385,Rochester Institute of Technology,,,
4476,British Columbia Institute of Technology,,,
4493,Universidad de Sonora,,,
4511,University of Miami,,,
4528,The University of Hong Kong,,,
4557,Rice University,,,
4605,Hong Kong Baptist University,,,
4641,The Chinese University of Hong Kong,,,
4665,Yonsei University,,,
4730,Osaka University,,,
4762,"Mahidol University, Thailand",,,
4796,Institute of Technology Bandung,,,
4869,Central New Mexico Community College,,,
4901,The George Washington University,,,
5386,Space Research Institute of Russian Academy of Sciences,,,
5387,Institute of Computational Technologies of SB RAS,,,
5402,Budker Institute of Nuclear Physics,,,
5421,Sofia University St. Kliment Ohridski,,,
5468,"Yeltsin UrFU, Ural Federal University",,,
5470,Aristotle University of Thessaloniki,,,
5474,TOBB Economics and Technology University,,,
5479,Kaunas University of Technology,,,
5480,State Educational institution for High professional education 'Southern Federal University',,,
5495,Saint-Petersburg State University,,,
5520,Universitaet zu Koeln,,,
5538,Institute of Mathematics and Computer Science of University of Latvia,,,
5548,State Educational Institution of higher professional education Moscow State University of Rai,,,
5550,"Technical University of Gdansk, Academic Computer Center TASK",,,
5553,State Educational Institution of Higher Professional Education Tambov State Technical Univers,,,
5567,National Research Tomsk Polytechnic University,,,
5568,ROSNIIROS Russian Institute for Public Networks,,,
5653,University of California San Francisco,,,
5664,Sheridan College,,,
5692,Universidad Nacional de La Plata,,,
5707,The University of Texas Health Science Center at Houston,,,
5708,Universidad Autonoma de Guerrero,,,
5721,National Defense University,,,
5722,Universidad Nacional de Colombia,,,
5723,Johns Hopkins University,,,
5739,"University of California, Santa Cruz",,,
5786,University of Puerto Rico,,,
6056,Colby College,,,
6059,University of Maryland,,,
6074,Long Island University,,,
6092,Harford Community College,,,
6095,Novartis Institutes for BioMedical Research,,,
6106,"University of California, Riverside",,,
6112,Auburn University,,,
6124,Marist College,,,
6150,National Cancer Institute/Frederick Cancer Research,,,
6192,University of California at Davis,,,
6200,University of Illinois at Chicago,,,
6360,University of Hawaii,,,
6362,Midland College,,,
6366,Portland State University,,,
6481,Southwest Research Institute,,,
6492,Palomar Community College District,,,
6510,Brigham Young University,,,
6522,Lehigh University,,,
6579,Memorial University of Newfoundland,,,
6652,Pima Community College,,,
6671,Samara State Aerospace University (SGAU),,,
6693,Universitatea Bucuresti,,,
6699,Institute of Mathematic and Mechanic of Ural Department of Russian Science Academy,,,
6711,University of Szeged,,,
6744,Computer Technology Institute and Press,,,
6801,Federal State Institution Russian Scientific Center Kurchatovsky institute,,,
6807,National Technical University 'Kharkiv Polytechnical Institute',,,
6857,Saint-Petersburg State University,,,
6867,University of Crete,,,
