asnum,asname,,,
19564,Lousiana Tech University,,,
19737,Royal Military College of Canada,,,
19763,Fundacao Universidade do Vale do Itajai,,,
19764,Georgian College of Applied Arts & Technology,,,
19782,Indiana University,,,
19856,Brazosport College,,,
19899,Miami Dade College,,,
19923,Shenandoah University,,,
19927,Lone Star College System District,,,
19933,Buffalo State College,,,
19941,Concordia University Chicago,,,
19999,Union College,,,
20039,Baker College,,,
20074,Point Loma Nazarene University,,,
20080,Florida International University,,,
20085,The University of Akron,,,
20105,University of Richmond,,,
20126,University of Cincinnati,,,
20130,Depaul University,,,
20143,Suffolk University,,,
20160,Lamar State College - Port Arthur,,,
20162,University of Texas at Dallas,,,
20177,Emporia State University,,,
20191,Pontificia Universidad Catolica de Chile,,,
20243,University of the Virgin Islands,,,
20247,Mercy College,,,
20252,Joan and Sanford I. Weill Medical College and Graduate School of Medical Sciences of Cornell,,,
20274,Flathead Valley Community College,,,
20286,American College of Cardiology,,,
20306,Adelphi University,,,
20337,SUNY Institute of Technology,,,
20343,Pepperdine University,,,
20379,Baker College,,,
20396,The Fashion Institute of Design and Merchandising,,,
20633,Johann Wolfgang Goethe-Universitat Frankfurt am Main,,,
20719,Birzeit University,,,
20813,Hellenic Open University,,,
21064,"University of Warmia and Mazury in Olsztyn, Poland",,,
21143,Tula State University,,,
21182,Opole University,,,
21274,State Scientific Enterprise 'United Institute of Informatics Problems of National Academy of,,,
21506,Fundação Universidade de Brasília,,,
21569,Dallas Baptist University,,,
21578,Universidad autonoma de Bucaramanga,,,
21582,Northern Arizona University,,,
21603,"Universidad La Salle, AC",,,
21727,Hamline University,,,
21752,The College of St. Rose,,,
21767,Washington College,,,
21784,"Atlanta University Center, Inc.",,,
21795,Mount Saint Mary College,,,
21951,St. Olaf College,,,
22068,Tyler Junior College,,,
22109,Universal Insurance Group,,,
22122,Universidad Autonoma de Yucatan,,,
22159,"State University of New York, Central",,,
22163,Texas A&M University System Health Science Center,,,
22174,State University of New York College ofTechnology at Alfred,,,
22198,Lafayette College,,,
22213,Salk Institute,,,
22215,Black Hills State University,,,
22245,Wichita State University,,,
22303,SUNY College at New Paltz,,,
22323,"University of California, Merced",,,
22342,The Commonwealth Medical College,,,
22388,Indiana University,,,
22441,Whitworth University,,,
22487,Valencia Community College,,,
22559,Genomics Institute of the Novartis Research Foundation,,,
22594,University of Northern Iowa,,,
22607,Des Moines University,,,
22644,Thomas Jefferson University Hospitals,,,
22700,University of San Francisco,,,
22721,Saint Peter's University,,,
22739,Brigham Young University Hawaii,,,
22782,Texas A&M University,,,
22819,Fundação Universidade de Caxias do Sul,,,
22830,University of the District of Columbia,,,
22834,Boston College,,,
22841,Northampton Community College,,,
22845,Virginia Community College System,,,
22847,Bowdoin College,,,
22851,Northern State University,,,
22854,Catawba College,,,
22864,The University of Texas - Pan American,,,
22875,"Life University, INC.",,,
22877,University of MarylandUniversity College,,,
22885,Advertising Specialty Institute,,,
22887,Western Illinois University,,,
22888,Sistema Universitario Ana G. Mendez,,,
22919,Portland Community College,,,
22944,Kentucky Community and Technical College System,,,
22949,Grinnell College,,,
22950,University of Saskatchewan,,,
22968,Miami University,,,
22970,Maine Technical College System,,,
22977,Lamar Institute of Technology,,,
22978,Governors State University,,,
22985,University of Louisiana at Lafayette,,,
22990,The University at Albany,,,
23007,Universidad de Los Andes,,,
23030,University of Houston - Downtown,,,
23082,Michigan Public Health Institute,,,
23102,Robert Morris University,,,
23122,Dakota State University,,,
23140,Universidad de Chile,,,
23171,Manhattan College,,,
23191,Le Moyne College,,,
23193,Community College of Allegheny County,,,
23207,Northwestern State University,,,
23237,McMaster University,,,
23262,Lincoln University,,,
23294,The University of Louisiana at Monroe,,,
23302,South Texas College,,,
23317,Whitman College,,,
23323,Diablo Valley College,,,
23341,Fashion Institute of Technology,,,
23361,"West Virginia University Foundation, Inc.",,,
23484,Pace University,,,
23552,Korea Nazarene University,,,
23553,Institute of Information Technology Assessment,,,
23561,Yongin University,,,
23586,Korean Council for University Education,,,
23615,University of Shizuoka,,,
23623,Chuo University,,,
23681,Paradox Digital ASN on behalf of IT Universe. To provide BGP interconnects to VIX and Parado,,,
23687,The Institute for the Promotion of Teaching Science,,,
23714,Keimyung University,,,
23719,University of Sydney,,,
23743,Keuk Dong University,,,
23770,Tata Institute of Fundamental Research,,,
23781,Toyama University,,,
23793,National Institute of Advanced Industrial Science and Technology,,,
23800,Fukui National College of Technology,,,
23807,Ritsumeikan University,,,
23826,Daido University,,,
23859,University of New South Wales,,,
23862,University of the Philippines Diliman,,,
23905,Victoria University of Wellington,,,
23919,Ramkhamhaeng University,,,
23922,Box Hill Institute of TAFE,,,
23975,Yonam Institute of Digital Technology,,,
23980,Yeungnam University,,,
23983,Daejeon University,,,
24020,"University ITM, Shah Alam, Selangor Malaysia",,,
24027,Chinju National University of Education,,,
24090,Universiti Sains Malaysia (USM),,,
24092,Moore Theological College,,,
24101,University of New England,,,
24248,Wakayama University,,,
24254,Kyoto Sangyo University,,,
24261,Mie University,,,
24264,Kanazawa Institute of Technology,,,
24268,National University Corporation Shizuoka University,,,
24287,National Institute of Informatics,,,
24297,Osaka Prefecture University,,,
24314,University Pendidikan Sultan Idris,,,
24328,Yala Rajabhat University Education,,,
24344,Chiangmai Rajabhat University,,,
24390,University of the South Pacific,,,
24398,Auckland University of Technology,,,
24433,Central Queensland University,,,
24434,James Cook University,,,
24436,University of Queensland,,,
24437,University of Western Australia,,,
24453,Chandrakasem Rajabahat University,,,
24526,Bina Nusantara University,,,
24620,Rigas Tehniska Universitate,,,
24683,State Educational Institution of Higher Professional Education Orenburg State University,,,
24839,Universitatea Babes-Bolyai,,,
24848,Kielce University of Technology,,,
24893,National University Lviv Politechnika,,,
24922,Hacettepe Universitesi,,,
24924,Non-commercial 'Partnership Institute of professional accountants and auditors of Russia',,,
25072,Institutet for Rymdfysik,,,
25304,Universitatea TRANSILVANIA Brasov,,,
25326,Constantin Brancoveanu University,,,
25371,"Keldysh Institute of Applied Mathematics, Russian Academy of Sciences",,,
25468,Rzeszow University of Technology,,,
25503,Odessa National Polytechnic University,,,
25565,Netanya Academic College,,,
25584,Opole University,,,
25631,Gallaudet University,,,
25635,Southern Alberta Institute of Technology,,,
25656,The University of Mississippi,,,
25680,Eastern Mennonite University,,,
25691,Connecticut State University System,,,
25709,Lamar University,,,
25728,Lambton College of Applied Arts and Technology,,,
25776,University of Oklahoma,,,
25778,The Urban Institute,,,
25789,Loyola Marymount University,,,
25816,Touro College,,,
25826,University of Ottawa,,,
25833,The Ontario College of Teachers,,,
25963,Tarrant County College District,,,
25968,Southeastern Louisiana University,,,
25969,St. Louis University,,,
25978,Rush University Medical Center,,,
26002,Southern University,,,
26013,Ave Maria University,,,
26020,Space Telescope Science Institute,,,
26026,Butler University,,,
26046,Utah State University,,,
26069,Alvernia University,,,
26071,Lakehead University,,,
26087,Gardner-Webb University,,,
26174,Saginaw Valley State University,,,
26206,University of Regina,,,
26255,Oakton Community College,,,
26333,University of New Orleans,,,
26335,Middle Tennessee State University,,,
26367,Bradley University,,,
26397,"The Regents of the University of California - University of California, San Diego.",,,
26438,Monroe Community College,,,
26483,The American Institute of Architects,,,
26488,Santa Clara University,,,
26557,Carleton College,,,
26569,CollegeNET,,,
26605,Universidad Industrial de Santander - UIS,,,
26609,Universal Telecom S.A.,,,
26610,Universidad Tecnica Federico Santa Maria,,,
26633,Texas Woman's University,,,
26682,Green Mountain College,,,
26699,Muhlenberg College,,,
26783,Maricopa County Community College District,,,
26808,Utica College,,,
26851,Palm Beach State College,,,
26883,Morehouse College,,,
26906,Edison State College,,,
26934,University of Missouri-Columbia,,,
26946,Kirkwood Community College,,,
26971,University of Texas,,,
27031,Southwest College of Naturopathic Medicine & Health Sciences Inc.,,,
27167,Ferrum College,,,
27219,SUNY College at Cortland,,,
27236,Cleveland Heights University Heights City Schools,,,
27274,Central Michigan University,,,
27282,North Idaho College,,,
27296,"Wilmington University, Inc.",,,
27304,Loras College,,,
27314,Hope International University,,,
27316,Eastern Iowa Community College District,,,
27405,Plymouth State College,,,
27422,Tennessee State University,,,
27560,Universal Leaf Tobacco Company Inc.,,,
27594,University of Texas at San Antonio,,,
27595,Columbia College Chicago,,,
27604,Seton Hill University,,,
27609,USC-University Hospital,,,
27654,Universidad Francisco Marroquin,,,
27686,Universidad Centro Occidental Lisandro Alvarado,,,
27770,Universidad Nacional de Rio Cuarto,,,
27790,Universidad Nacional de Cordoba,,,
27791,Universidad Ricardo Palma,,,
27820,Universidad Tecnica Particular de Loja,,,
27828,Universidad Mayor de San Andres,,,
27872,Universidad Dr. Rafael Belloso,,,
27875,Universidad Nacional de Cuyo,,,
27883,Universidad Tecnologica Nacional,,,
27890,Universidad de Oriente,,,
27891,Universidad Pedagógica Experimental Libertador,,,
27892,Universidad del Zulia,,,
27893,Universidad de Carabobo,,,
27922,Smithsonian Tropical Research Institute,,,
27933,Universidad Galileo,,,
27981,Universidad Nacional de Mar del Plata,,,
27993,Universidad Nacional del Litoral,,,
28039,Universidad EAN,,,
28068,Universidad Nacional de San Luis,,,
28116,Universidad de Adolfo Ibanez,,,
28382,"Universidad Iberoamericana, A.C.",,,
28390,Universidad Autonoma de Nayarit,,,
28391,Universidad Juarez Autonoma de Tabasco,,,
28493,Universidad Pedagogica Nacional,,,
28505,"Universidad Regiomontana, A.C.",,,
28519,"Universidad Autonoma de Guadalajara, A.C.",,,
28526,Universidad Autonoma del Estado de Mexico,,,
28579,Fundacao Universidade do Sul de Santa Catarina,,,
28614,Fundacao Universidade Regional de Blumenau,,,
28678,Technical University of Koszalin,,,
28797,Technical University of Koszalin,,,
28800,State Educational Institution of Higher Professional Education Moscow State Institute of a R,,,
28804,National University Kievo-Mohylanska Academia,,,
28821,College of the North Atlantic Qatar,,,
28830,Bilotcerkivskiy National Agrarian University,,,
28899,Autonomous Institution of the Khanty-Mansi Autonomous Okrug Ugra Ugra Research Institute of ,,,
28933,"University of Ljubljana, Faculty of Electrical Engineering",,,
28949,Technical University of Sofia,,,
29068,University of Tehran Informatics Center,,,
29095,National Taras Shevchenko University of Kyiv,,,
29195,North-Caucasian Institute of Mining and Metallurgical,,,
29289,Georgian Technical University,,,
29345,Institute of Mathematics and Computer Science of University of Latvia,,,
29407,GOU WPO Siberian State University of Telecommunication And Informatics,,,
29484,Ruhr-Universitaet Bochum,,,
29493,Federal State Budget Institution Petersburg Institute of Nuclear Physics of B.P. Konstantino,,,
29574,Vinnytsia National Technical University,,,
29577,Isfahan University of Technology,,,
29581,State Educational Institution of higher professional Education 'Altay State University',,,
29599,Zaporizhzhe National Technical University,,,
29683,Vinnica State Medical University of M.I.Pirogov,,,
29773,Carleton University,,,
29781,"ECPI Colleges, Inc.",,,
29825,Illinois Institute of Technology,,,
29842,East Tennessee State University,,,
29848,West Chester University,,,
29867,Fairfield University,,,
29871,Savannah College of Art and Design,,,
29917,Keene State College,,,
29923,Northland Pioneer College,,,
29955,Washburn University,,,
29959,University of Wisconsin Credit Union,,,
29984,Willamette University,,,
29993,North Central College,,,
30012,"Universal Music Group, INC.",,,
30045,University Health Network,,,
30054,The College of Westchester,,,
30154,Davenport University,,,
30178,College of Southern Idaho,,,
30231,Arcadia University,,,
30256,Acadia University,,,
30267,Universal Executive Centers,,,
30335,Walla Walla University,,,
30376,College of St. Scholastica,,,
30387,National Institutes of Health,,,
30408,Arkansas State University,,,
30499,Youngstown State University,,,
30543,Treasure Valley Community College,,,
30557,American Association of University Women,,,
30564,Louisiana State University in Shreveport,,,
30569,Creighton University,,,
30618,Lee University,,,
30629,Lewis & Clark College,,,
30674,Baylor University,,,
30679,California State Polytechnic University - Pomona,,,
30681,John Carroll university,,,
30682,"eCollege.com, Inc.",,,
30703,"State University of New York, Health Science Center at Syracuse",,,
30778,Kielce University Of Technology,,,
30812,State Educational Institution of Higher Professional Education Mari State University,,,
30847,Lancaster University Network Services Limited,,,
30869,State Educational Institution of Higher Professional Education Moscow State Railway Universi,,,
31011,University of Chemical Technology And Metallurgy,,,
31145,State Higher Educational Institution 'Precarpathian National University of Vasyl Stefanyk',,,
31206,National University Of Food Technologies,,,
31344,Federal State Unitary Enterprise 'State Scientific Center of Russian Federation Institute of,,,
31369,National Social Security Institute,,,
31575,National Research University of Electronic Technology,,,
31649,ROSNIIROS Russian Institute for Public Networks,,,
31689,Eastern Mediterranean University,,,
31704,Private American Robert College,,,
31707,MAI - Moscow Aviation Institute (National Research University),,,
31746,Franklin and Marshall College,,,
31766,University of Puget Sound,,,
31782,Wilfrid Laurier University,,,
31822,City University of New York,,,
31828,Seton Hall University,,,
31871,Graceland University,,,
31886,University of Guelph,,,
31921,Malone University,,,
31967,Florida Institute of Technology,,,
31983,Queen's University,,,
31986,Sanford-Burnham Medical Research Institute at Lake Nona,,,
31999,Lake Sumter State College,,,
32012,Corinthian College,,,
32064,American University,,,
32071,Western Kentucky University,,,
32082,Bridgewater State College,,,
32093,University of Texas at Austin,,,
32120,Memorial Health University Medical Center,,,
32125,Wheaton College,,,
32136,Farmingdale State College,,,
32156,Humber College,,,
32178,Sinclair Community College,,,
32189,Universidad del Sagrado Corazon,,,
32229,Jackson State University,,,
32234,University of Dayton,,,
32250,Niagara College of Applied Arts and Technology,,,
32285,Henry Ford College,,,
32347,Sir Sandford Fleming College of Applied Arts and Technology,,,
32389,Berklee College of Music,,,
32417,Elon University,,,
32432,"Colleges of the Fenway, Inc.",,,
32438,Michigan State University Federal Credit Union,,,
32450,Thomas Edison State College,,,
32464,University Of Illinois College Of Medicine At Peoria,,,
32480,Loma Linda University Medical Center,,,
32531,Fordham University,,,
32539,Weill Cornel Medical College in Qatar,,,
32601,Abilene Christian University,,,
32638,Trent University,,,
32666,Case Western Reserve University,,,
32692,Chaminade University of Honolulu,,,
32707,University Hospitals Health System,,,
32716,Northern Lakes College,,,
32726,Liberty University,,,
32733,University of Dayton,,,
32744,Montgomery County Community College,,,
32756,Cambrian College of Applied Arts & Technology,,,
32762,Sault College of Applied Arts & Technology,,,
32817,Northern College of Applied Arts & Technology,,,
32818,Cleveland State University Computer Services,,,
32820,Nipissing University,,,
32831,Roswell Park Cancer Institute,,,
32876,Lycoming College,,,
32907,University of St. Thomas,,,
32971,Howard Community College,,,
33004,Empire State College,,,
33019,Wheaton College,,,
33022,Wellesley College,,,
33030,College of Wooster,,,
33091,University of Calgary,,,
33096,Bow Valley College,,,
33148,Texas State University - San Marcos,,,
33170,Morgan State University,,,
33187,Sam Houston State University,,,
33246,Bethany Lutheran College,,,
33275,Kennedy Memorial Hospitals - University Medical Center,,,
33314,Vancouver Community College,,,
33344,American Petroleum Institute,,,
33389,College Boreal,,,
33401,Central Piedmont Community College,,,
33427,Washington State University,,,
33455,Northwestern College,,,
33460,Waubonsee Community College,,,
33503,Medical College of Wisconsin,,,
33523,Rowan University,,,
33545,Bard College,,,
33575,The Franklin Institute Science Museum,,,
33608,Hood College,,,
33629,Northern Kentucky University,,,
33632,Morehead State University,,,
33636,Wofford College,,,
33670,Nova University,,,
33683,University of the Incarnate Word,,,
33692,Macalester College,,,
33703,Hofstra University,,,
33819,Vladivostok State University of Economics,,,
33847,The Petroleum Institute,,,
34321,Institute of strategic marks,,,
34479,Institute of Computational Technologies of SB RAS,,,
34604,Institute of Soil Science and Plant Cultivation,,,
34707,State Educational Institution of higher professional Education 'Kemerovo State University',,,
34776,National Aviation University,,,
34849,Federal State Institution of Higher Professional Education Peoples Friendship University of ,,,
34862,Institution of Russian academy of sciences Kotel'nikov Institute of Radio Engineering and El,,,
34878,Karlsruhe Institute of Technology (KIT),,,
35043,Allameh Tabataba'i University,,,
35052,Vienna University,,,
35385,Al Quds Open University,,,
35656,Jordanian Universities Netwotk L.L.C.,,,
35764,State Institution Arctic and Antarctic Research Institute,,,
35904,University of Phoenix,,,
35992,Dean College,,,
36041,Savannah College of Art and Design,,,
36094,Worcester State University,,,
36101,Azusa Pacific University,,,
36170,Westmont College,,,
36191,West Virginia Medical Institute,,,
36228,Lancaster Bible College,,,
36269,University of Scranton,,,
36279,Misericordia University,,,
36319,NorthShore University HealthSystem,,,
36368,Oberlin College,,,
36375,University of Michigan,,,
36378,New York Institute of Technology,,,
36390,Cuyahoga Community College,,,
36391,TRIUMF (Tri-University Meson Facility),,,
36396,Schoolcraft College,,,
36407,Software Engineering Institute,,,
36413,Loyola University Maryland,,,
36427,Vassar College,,,
36441,University of Georgia,,,
36450,University of Texas System Administration,,,
36538,San Jacinto College District,,,
36633,Voorhees College,,,
36639,Universal American Financial,,,
36658,Angelo State University,,,
36660,Samuel Merritt College,,,
36691,Colorado State University-Pueblo,,,
36701,Stetson University,,,
36748,St. Edwards University,,,
36786,Universite Laval,,,
36831,Xavier University,,,
36843,Florida State University,,,
36850,University of North Carolina at Chapel Hill,,,
37074,University of Ghana,,,
37218,University-of-Dodoma,,,
37895,Ryukoku University,,,
37910,Chubu University,,,
37914,Advanced Software Technology & Mechatronics Research Institute of KYOTO,,,
37917,University of Tsukuba,,,
37920,Shiga University,,,
37932,Rajamangala University of Technology Isan,,,
37984,"Chikushi Jogakuen University, Non-transit AS.",,,
37992,Thammasat University in thailand,,,
38021,Network of Indian Institute of Foreign Trade,,,
38043,"Sophia Reserch Institute, Ltd.",,,
38083,Curtin University,,,
38110,Chungwoon University,,,
38131,Mokpo National Maritime University,,,
38140,NZ Forest Research Institute Ltd,,,
38142,Universitas Airlangga,,,
38153,Universitas Pelita Harapan,,,
38265,Sisaket Rajabhat University,,,
38280,Monash University Sunway Campus Malaysia,,,
38305,The University of Otago,,,
38319,"Lincoln University, Canterbury, New Zealand",,,
38422,Seowon University,,,
38635,Keio University,,,
38641,Osaka Sangyo University,,,
38668,Konkuk University Hospital,,,
38685,Korea Ocean Research & Development Institute,,,
38695,bucheon university,,,
38727,Ha Noi University of Technology,,,
38844,National Taiwan Normal University,,,
38845,Fu Jen Catholic University,,,
38847,National Chung Hsing University,,,
38849,Shu-Te University,,,
38868,Universiti Putra Malaysia AS,,,
38931,Universal Business Information Systems LLC,,,
39031,Paris-Sorbonne University Abu Dhabi,,,
39131,State Educational Institution of higher professional Education Dagestan State University,,,
39815,Lucian Blaga University of Sibiu,,,
39857,Aalto University Student Union,,,
39866,Saint-Petersburg University of Engineering and Economics,,,
39873,Rzeszow University of Technology,,,
39943,St. Francis College,,,
39954,Gateway Technical College,,,
39975,"Universal Data, Inc.",,,
40007,St. Francis Xavier University,,,
40038,Moraine Valley Community College,,,
40102,Montgomery College.,,,
40119,Northern Alberta Institute of Technology,,,
40143,"University of Technology, Jamaica",,,
40149,University of Bridgeport,,,
40166,Daemen College,,,
40204,Jacksonville State University,,,
40220,Virginia Polytechnic Institute and State Univ.,,,
40245,Wake Forest University,,,
40246,New Mexico State University,,,
40267,Passaic County Technical Institute,,,
40272,Allen Institute for Brain Science,,,
40326,Eckerd College,,,
40373,"University Medical Center, Inc",,,
40385,Saint Mary's College of California,,,
40387,University of Illinois,,,
40421,Providence College,,,
40486,College Center for Library Automation,,,
40497,Bethel University,,,
40508,Mid America Nazarene University,,,
40591,Bucknell University,,,
40615,University Health System,,,
40625,Jefferson Community College,,,
40660,Universite du Quebec a Trois-Rivieres,,,
40684,St. Clair County Community College,,,
40710,College of Lake County,,,
40722,California Institute of the Arts,,,
40723,The University of Virginia's College at Wise,,,
40735,HudsonAlpha Institute for Biotechnology,,,
40750,National College Services,,,
40944,Mass College of Liberal Arts,,,
40947,Franklin W. Olin College Of Engineering,,,
40981,University of Montenegro,,,
41116,Ashkelon Academic College,,,
41346,Al-Quds University,,,
41347,Islamic University of Gaza,,,
41620,Iran University Of Science and Technology,,,
42048,Siberian Federal University,,,
42112,Universal Bank PJSC,,,
42139,ROSNIIROS Russian Institute for Public Networks,,,
42289,"Saint-Petersburg State University of Information Technologies, Mechanics and Optics",,,
42307,Swedish Meteorological and Hydrological Institute,,,
42385,ROSNIIROS Russian Institute for Public Networks,,,
42506,Palestine Polytechnic University (PPU),,,
42728,ROSNIIROS Russian Institute for Public Networks,,,
42907,Research Institute Of Petroleum Industry,,,
43206,Ternopil Ivan Pul'uj National Technical University,,,
43213,ROSNIIROS Russian Institute for Public Networks,,,
43497,State Enterprise 'State Scientific-Research Institute for Automation Systems in Construction,,,
43528,Universal Telecom Experts SL,,,
43832,ROSNIIROS Russian Institute for Public Networks,,,
43965,Tehran University of Medical Science,,,
44304,Ternopil Ivan Puluj National Technical University,,,
44358,Kauno Technologijos Universitetas,,,
44522,ROSNIIROS Russian Institute for Public Networks,,,
44597,ROSNIIROS Russian Institute for Public Networks,,,
44609,Fars News Agency Cultural Arts Institute,,,
44805,New Bulgarian University,,,
45018,ROSNIIROS Russian Institute for Public Networks,,,
45029,ROSNIIROS Russian Institute for Public Networks,,,
45138,Christchurch Polytechnic Institute,,,
45140,Christ College Christchurch ASN,,,
45209,"University of the Philippines, Los Banos Campus",,,
45213,University of Southern Queensland,,,
45249,Waikato Institute of Technology,,,
45293,Universitas Terbuka,,,
45319,Universitas Bhayangkara,,,
45340,B.M.S College Of Engineering,,,
45344,International Islamic University Of Malaysia,,,
45379,Ulsan National Institute of Science and Technology,,,
45389,Jeonlabukdo Education Research Information Institute,,,
45542,VietNam National University Ha Noi,,,
45575,Rajamangala University of Technology Srivijaya,,,
45600,"University of the Philippines, Manila",,,
45673,Osaka Electro-Communication University,,,
45685,Rikkyo Gakuin Rikkyo University,,,
45688,The University of Tokyo Interfaculty Initiative in Information Studies,,,
45697,Universitas Surabaya,,,
45807,Emergency Medical institute Of Thailand,,,
45810,"University of Nottingham, Malaysia Campus",,,
45832,"Enderun Colleges, Inc.",,,
45847,"university network ,Nakornsitammarat, Thailand",,,
45854,"2nd Floor, Universal Building Mill Compound",,,
45962,James Cook University,,,
45963,KIRAMS (Korea Institute of Radiological & Medical Sciences),,,
45971,Financial Security Institute,,,
46012,Induk University,,,
46019,Universitas Brawijaya,,,
46042,Gunadarma University,,,
46044,Universitas Padjadjaran,,,
46049,Universitas Diponegoro,,,
46057,Universitas Muhammadiyah Malang,,,
46059,Universitas Negeri Malang,,,
46079,Sripatum Univeristy is one university in Thailand in Bangkok,,,
46094,Lee College,,,
46103,University of Wisconsin Whitewater,,,
46110,Chemeketa Community College,,,
46115,Luther College,,,
46149,University of Southern Indiana,,,
46150,Southern New Hampshire University,,,
46184,NorQuest College,,,
46243,Universal Debit And Credit Corp,,,
46305,"Universal Audio, Inc.",,,
46310,The Scripps Research Institute,,,
46357,California Polytechnic State University,,,
46358,University of Advancing Technology,,,
46363,Holy Family University,,,
46417,Baker College,,,
46418,Baker College,,,
46419,Baker College,,,
46420,Baker College,,,
46464,Atlantic Union College,,,
46476,Texas Tech University Health Sciences Center,,,
46477,Perimeter Institute,,,
46512,University of Tennessee Medical Center,,,
46543,University of Maryland at Baltimore,,,
46551,Michigan State University Federal Credit Union,,,
46563,Stonehill College,,,
46576,Loews Hotels at Universal Orlando,,,
46643,Virginia College Savings Plan,,,
46662,Boise State University,,,
46722,Bryant University,,,
46729,Saint Leo University,,,
46749,Stanford University,,,
46750,Stanford University,,,
46755,Columbia College,,,
46764,University of the West Indies,,,
46780,Saint John's University - College of Saint Benedict,,,
46783,"Eisai Research Institute of Boston, Inc",,,
46832,University of Missouri - dba the Missouri Research and Education Network (MOREnet),,,
46871,Oakland Community College,,,
46905,University of Massachusetts - Lowell,,,
46924,Bob Jones University,,,
46964,"The Broad Institute, Inc.",,,
47025,Gary and Mary West Wireless Health Institute,,,
47050,Texas A&M International University,,,
47052,Baker College,,,
47124,Ryazanskiy State University,,,
47170,Joint stock company Scientific Research Institute of Applied Information Technologies,,,
47174,Technical University of Varna,,,
47212,Republic of Macedonia State University GOCE DELCEV Stip,,,
47321,Interregional Social Foundation Institute of engineering physics,,,
47445,ROSNIIROS Russian Institute for Public Networks,,,
47610,RWTH Aachen University,,,
47623,Institute for Informatics and Automation Problems of National Academy of Sciences of the Rep,,,
47742,Univers Net Com SRL,,,
47743,Usikov Institute of Radiophysics and Electronics of National Academy of Sciences of Ukraine,,,
47799,National I.I. Mechnikov University of Odessa,,,
47862,Khalifa University for Science Technology and Research,,,
48032,Universal Media Network Ltd,,,
48062,Riga Stradins University,,,
48150,Pontifical Lateran University,,,
48155,University of Ruse Angel Kanchev,,,
48379,I.M.Gubkin Russian State University of Oil and Gas,,,
48429,Ural State University of Economics,,,
48434,Tebyan-e-Noor Cultural-Artistic Institute,,,
48665,Bukovinian State Medical University,,,
48822,Universum bit Ltd.,,,
49339,GOU VPO Yugorskiy State University,,,
49373,JSC Universal Card Technologies,,,
49521,The Ural State Law University,,,
49554,P.P.Shirshov Institute of Oceanology RAS,,,
49638,Consorci de Serveis Universitaris de Catalunya,,,
49929,State Technological University Moscow Institute of Steel and Alloys Telecommunications Cente,,,
50195,University of Maribor,,,
50237,"The College of Management, Academic Studies, Founded by the Union Officials in Tel Aviv, Cor",,,
50276,State educational institution of higher education of Chemical Technology University named af,,,
50483,State Educational Insitution of Higher Professional Education Kazan State Technical Universi,,,
50517,King Saud University,,,
50569,Institute for Software Systems of National Academy of Sciences of Ukraine,,,
50595,"Hochschule RheinMain, University of Applied Sciences, Wiesbaden Ruesselsheim Geisenheim",,,
50602,Khalifa University for Science Technology and Research,,,
50744,The Max Stern Academic College of Emek yezreel ltd.,,,
50895,"Institute of the New Information Technologies, CJSC",,,
50934,Belarussian National Technical University,,,
50990,Universitatea Spiru Haret,,,
50999,King Abdullah University of Science and Technology,,,
51039,Federal State Unity Enterprise All-Russian Electrotechnical Institute of V.I. Lenin,,,
51172,Kauno technologijos universitetas,,,
51182,The United Arab Emirates University,,,
51352,State Educational Institution of higher professional Education 'Vladimir State University',,,
51539,The American University of Iraq-Sulaimani,,,
51652,National University of Life and Environmental Sciences of Ukraine,,,
51708,Libera Universita di Bolzano,,,
51751,Saratov State Tehnical University,,,
51869,State educational institution of further education Northwestern State Medical University nam,,,
51946,University of Newcastle upon Tyne,,,
51955,Institute of Mathematics and Computer Science of University of Latvia,,,
52216,The American University in Dubai,,,
52314,Universidad Nacional del Noroeste de Buenos Aires (UNNOBA),,,
52343,Universidad Tecnologica Equinoccial,,,
52411,Universidad del Desarrollo,,,
52424,Universidad Nacional de Entre Ríos,,,
52440,Universidad de La Punta,,,
52442,Universidad Nacional de Luján,,,
52467,Universidad de Ibague,,,
52488,Universidad Pontificia Bolivariana,,,
53260,Clark University,,,
53263,Grand Rapids Community College,,,
53355,Concordia University Wisconsin,,,
53403,Mount Royal University,,,
53450,University of Arkansas at Monticello,,,
53566,The George Brown College of Applied Arts and Technology,,,
53568,Franklin University,,,
53575,Austin College,,,
53577,Ursinus College,,,
53604,University of Arkansas at Pine Bluff,,,
53695,Southern Illinois University at Edwardsville,,,
53701,Trinity Washington University,,,
53748,University Medical Center of Southern Nevada,,,
53750,Neumann University,,,
53785,University of North Carolina at Greensboro,,,
53809,Texas Tech University Health Sciences Center at El Paso,,,
53859,"Universal Remote Control, Inc.",,,
53862,McDaniel College,,,
53875,Texas A&M University,,,
53979,Eastern Florida State College,,,
54024,CFA Institute,,,
54025,Capella University,,,
54032,Seattle Pacific University,,,
54040,NBCUniversal,,,
54070,Ontario College of Art & Design University,,,
54072,Central Community College,,,
54079,Bennington College,,,
54162,Aurora University,,,
54177,St. John Fisher College,,,
54226,SUNY College of Optometry,,,
54257,Vermont State Colleges,,,
54261,Pasco-Hernando State College,,,
54307,Alberta College of Art and Design,,,
54341,"University of Louisville Physicians, Inc.",,,
54365,Samueli Institute,,,
54375,Centre College,,,
54393,Fort Lewis College,,,
54397,Lakefield College School,,,
54482,"New England Research Institutes, Inc.",,,
54485,Philadelphia College of Osteopathic Medicine,,,
54536,Adams State College,,,
